Item,Profit_Margin,Avg_Order_Value_Impact,Conversion_Rate
Burger,3.323116173670804,12.756384321463278,0.16396745741826563
Fries,3.1078865982555937,7.659591474462041,0.14217457148472284
Cola,2.404147798413339,11.150245698915754,0.24442171876999308
Shake,2.972850631584441,13.99400037658225,0.24269665469420915
Chicken Nuggets,2.4603865417968414,5.385856084458213,0.10510491537696338
Salad,3.6317253419126097,8.875339429527392,0.14597353246582123
Ice Cream,4.3401186026416445,6.349177596806353,0.10310916925917722
Coffee,4.147577747367943,14.086577103552372,0.06165603625176112
Tea,2.362769693487972,8.600774445004243,0.0640303660159822
Smoothie,3.0376779753962073,7.1334092666445095,0.08670578108010922
Onion Rings,1.0426251974043605,11.764765756864064,0.05747050879436803
Cheese Sticks,4.48111255689742,10.431927874256411,0.15579380156907613
Pasta,1.9815833034077688,13.169366817412314,0.0660048775926577
Soup,2.764365976571205,12.530681587228454,0.2618528479062449
Grilled Sandwich,1.6102017800757928,14.746698529528341,0.22802049434920396
Wrap,3.712434289691261,5.905323071992203,0.2459107107958221
Muffin,3.181190626761632,5.802727683565135,0.20437002954736722
Donut,2.45915902394947,14.073606985127178,0.2159693329602435
Brownie,3.1407745769982123,14.557322239329597,0.07835250844455989
Water,1.6749463501084567,9.066343459351318,0.06454191213336209
